"DAY_OF_MONTH","DAY_OF_WEEK","CARRIER","ORIGIN","DEST","DEP_DELAY_NEW","ARR_DELAY_NEW","DISTANCE"
16,3,"WN","MDW","MCO",0,0,990
17,4,"UA","SFO","SLC",0,3,599
3,4,"DL","ORF","ATL",5,0,516
2,3,"YV","BTR","IAH",0,12,253
4,5,"WN","LGA","ATL",1,0,762
3,4,"AS","SFO","PHL",0,0,2521
18,5,"AA","MIA","DCA",0,0,919
8,2,"YV","IAH","DFW",0,0,224
22,2,"UA","PHX","ORD",0,0,1440
18,5,"WN","SFO","LAX",37,49,337
30,3,"MQ","MIA","CMH",0,0,990
25,5,"DL","MSP","SJC",0,0,1575
8,2,"DL","SLC","PHL",0,0,1927
21,1,"OO","OKC","ORD",0,0,693
18,5,"OH","DCA","ATL",0,0,547
7,1,"HA","HNL","LIH",0,0,102
4,5,"AA","AUS","PHL",1,0,1430
14,1,"9E","GNV","ATL",0,0,300
3,4,"AA","RDU","ORD",103,91,646
3,4,"YX","MSY","MIA",0,0,675
24,4,"UA","LAX","BOS",9,9,2611
15,2,"WN","CMH","MCO",25,21,802
6,7,"DL","MKE","ATL",0,0,669
12,6,"HA","HNL","LAX",1,0,2556
13,7,"WN","LGA","DEN",0,0,1620
31,4,"AA","ATL","DFW",0,0,731
7,1,"YX","DCA","ORD",0,0,612
18,5,"DL","MSP","DTW",0,0,528
8,2,"OO","SBP","DEN",14,19,931
25,5,"OO","DEN","CVG",0,0,1069
15,2,"AA","CLT","DEN",17,16,1337
2,3,"OO","COS","ORD",73,NA,911
30,3,"WN","LAS","LAX",19,14,236
25,5,"YX","CVG","IAH",0,0,871
12,6,"AA","SJU","CLT",0,0,1475
16,3,"WN","ATL","RSW",277,270,515
30,3,"WN","BWI","SDF",0,0,495
31,4,"YX","LGA","ORD",48,33,733
16,3,"NK","BOS","LAS",14,4,2381
1,2,"AS","OGG","SEA",0,0,2640
30,3,"WN","OAK","RNO",0,0,181
6,7,"DL","ATL","TPA",0,0,406
21,1,"DL","MSP","SAN",7,0,1532
11,5,"EV","DFW","TYS",0,0,771
13,7,"YX","SDF","IAH",0,0,788
27,7,"OH","CLT","DAY",0,0,370
23,3,"WN","PHL","TPA",0,0,920
15,2,"WN","ATL","HOU",21,9,696
16,3,"AA","LGA","ORD",5,0,733
15,2,"EV","PNS","IAH",0,0,489
8,2,"EV","DCA","EWR",0,0,199
21,1,"OH","DCA","MEM",0,0,762
10,4,"DL","BWI","ATL",59,37,577
10,4,"9E","BOS","JFK",9,0,187
3,4,"DL","MSP","BWI",0,0,936
7,1,"AA","MEM","DFW",0,0,431
3,4,"OO","SFO","GEG",0,0,733
8,2,"B6","FLL","ORH",0,0,1211
25,5,"OO","ATL","SHV",0,14,551
6,7,"UA","EWR","LAS",0,0,2227
26,6,"WN","MDW","BNA",0,0,395
3,4,"AA","BOS","ORD",0,10,867
22,2,"OO","DEN","SLC",0,5,391
24,4,"OH","PVD","DCA",0,4,356
24,4,"DL","ATL","MEM",13,21,332
1,2,"OO","MSP","FCA",0,0,1026
13,7,"WN","ATL","RIC",0,0,481
7,1,"AA","PHX","SJC",0,2,621
14,1,"WN","ATL","FLL",72,65,581
14,1,"B6","BOS","DFW",70,49,1562
7,1,"EV","EWR","FWA",0,0,578
20,7,"DL","SEA","ANC",10,3,1448
15,2,"UA","SAN","IAD",0,0,2253
13,7,"DL","SEA","DEN",0,0,1024
5,6,"UA","ORD","PHL",52,41,678
15,2,"OH","CLT","SAT",0,0,1095
10,4,"B6","RSW","EWR",381,359,1068
30,3,"AA","SBA","DFW",0,0,1316
25,5,"UA","SAV","ORD",0,0,773
20,7,"AA","PHL","IAH",0,0,1325
24,4,"UA","IAD","TPA",0,33,811
5,6,"OH","EWN","CLT",0,0,221
9,3,"WN","BWI","CMH",0,0,337
7,1,"MQ","DFW","GCK",0,0,404
21,1,"AA","LGA","DFW",0,10,1389
2,3,"WN","HOU","TPA",1,0,781
31,4,"9E","ATL","EVV",0,3,350
1,2,"UA","IAD","MCO",0,0,758
30,3,"DL","GPT","ATL",0,0,352
13,7,"WN","LAX","DAL",0,0,1246
27,7,"DL","ATL","MKE",0,0,669
5,6,"OH","CLT","EWN",0,0,221
15,2,"WN","DEN","RNO",23,14,804
12,6,"AS","PDX","SFO",0,0,550
15,2,"OO","MSP","AZO",0,0,426
25,5,"AA","ORD","SFO",41,27,1846
26,6,"EV","IAH","ICT",6,0,542
4,5,"OO","ATL","BTR",0,4,448
17,4,"WN","MEM","MDW",0,0,480
5,6,"B6","LGB","SJC",0,0,324
27,7,"AA","MIA","BDL",0,0,1194
7,1,"WN","MCO","SAN",0,0,2149
14,1,"OH","CLT","SAV",4,0,213
31,4,"EV","SAV","EWR",103,108,708
27,7,"UA","PHL","IAH",35,35,1325
30,3,"MQ","OMA","ORD",0,0,416
31,4,"WN","STL","DEN",39,23,770
14,1,"WN","MCO","MSY",0,0,551
22,2,"AA","DFW","ATL",0,2,731
10,4,"AA","FLL","DFW",0,0,1119
10,4,"OO","LAX","SAT",0,0,1211
16,3,"WN","HOU","JAX",60,54,816
3,4,"EV","CHA","DFW",0,0,695
9,3,"MQ","AZO","ORD",0,0,122
8,2,"WN","PIT","MCO",0,0,834
4,5,"OO","MSP","OKC",0,0,694
7,1,"B6","DTW","BOS",0,0,632
13,7,"WN","ATL","HOU",11,0,696
24,4,"OO","STS","SFO",58,48,66
22,2,"UA","DEN","PDX",0,0,991
10,4,"B6","FLL","JAX",0,0,319
24,4,"MQ","LGA","IND",3,0,660
24,4,"YX","PVD","PHL",110,78,237
28,1,"OO","ATL","SHV",0,0,551
30,3,"WN","BNA","CLE",1,5,448
9,3,"WN","ONT","SMF",25,20,390
14,1,"YV","DFW","FSM",7,9,227
31,4,"UA","MIA","ORD",0,0,1197
16,3,"NK","DFW","PIT",0,0,1067
23,3,"WN","BWI","BNA",0,0,587
18,5,"DL","DTW","BOS",13,9,632
7,1,"AA","ORD","SEA",0,0,1721
1,2,"UA","BNA","SFO",21,0,1969
17,4,"OH","CLT","AGS",0,0,140
17,4,"OO","ORD","ATW",0,0,160
1,2,"YV","MEM","PHX",0,1,1264
6,7,"DL","SYR","ATL",0,0,794
6,7,"DL","MSN","DTW",0,0,311
18,5,"WN","DAL","PIT",60,43,1060
15,2,"AA","BOS","DFW",0,0,1562
13,7,"WN","OAK","SNA",7,1,371
27,7,"OO","SGU","PHX",179,181,262
29,2,"AA","OKC","DFW",18,8,175
6,7,"F9","SLC","DEN",0,0,391
13,7,"OO","SLC","SGU",0,6,272
22,2,"WN","BWI","SDF",1,0,495
1,2,"UA","IAD","SAN",0,0,2253
25,5,"OO","IAH","TUS",0,41,936
31,4,"G4","BZN","LAS",303,309,701
15,2,"OO","MSP","BNA",0,0,695
19,6,"B6","JAX","FLL",NA,NA,319
23,3,"AS","SEA","LAS",0,5,867
29,2,"WN","LAS","BUR",0,0,223
3,4,"YX","PHL","MKE",0,NA,690
7,1,"WN","LAS","DEN",73,62,628
27,7,"AA","PHX","EWR",30,28,2133
16,3,"AS","SEA","PHX",8,8,1107
28,1,"UA","ORD","LAX",17,0,1744
3,4,"MQ","ALB","ORD",NA,NA,723
20,7,"AS","SFO","EWR",30,28,2565
4,5,"EV","PVD","EWR",0,0,160
29,2,"WN","SMF","ONT",0,0,390
19,6,"DL","SLC","SAN",0,0,626
24,4,"9E","MSP","EWR",0,0,1008
12,6,"AA","CLT","MSP",4,1,930
9,3,"OO","LFT","ATL",0,0,503
7,1,"OO","GFK","MSP",0,0,284
17,4,"OO","COS","IAH",0,0,809
14,1,"UA","BWI","DEN",0,13,1491
24,4,"DL","OMA","ATL",0,0,821
19,6,"9E","DTW","IND",4,0,231
29,2,"YX","LGA","STL",0,0,888
15,2,"AA","PHX","ORD",0,5,1440
14,1,"YV","IAH","CVG",0,0,871
4,5,"UA","IAD","SFO",0,0,2419
31,4,"DL","ATL","DEN",0,0,1199
21,1,"9E","ATL","SGF",0,0,563
20,7,"OO","ATL","SHV",0,32,551
16,3,"OO","ORD","MCI",0,0,403
7,1,"HA","HNL","ITO",0,0,216
21,1,"AA","TPA","PHL",0,0,920
25,5,"MQ","LIT","DFW",0,0,304
13,7,"WN","BNA","AUS",0,0,756
11,5,"DL","MCO","LGA",0,0,950
18,5,"DL","LEX","ATL",0,0,304
1,2,"YX","BNA","LGA",0,0,764
22,2,"WN","HOU","CRP",39,48,187
21,1,"WN","MDW","AUS",97,75,972
5,6,"AS","PDX","MCO",0,0,2534
31,4,"UA","MFE","IAH",239,240,316
15,2,"NK","LGA","MYR",250,273,563
20,7,"WN","DAL","STL",3,0,546
1,2,"AA","DTW","CLT",0,0,500
20,7,"UA","SFO","LIH",58,37,2447
24,4,"YV","SDF","DFW",0,0,733
18,5,"9E","CSG","ATL",0,0,83
18,5,"OO","ATL","ORD",0,0,606
29,2,"UA","SAN","ORD",0,0,1723
20,7,"DL","ATL","BWI",9,4,577
24,4,"WN","DEN","BWI",0,9,1491
31,4,"9E","ATL","ATW",0,0,765
19,6,"WN","LGA","ATL",0,0,762
3,4,"AA","ORD","RDU",56,49,646
29,2,"DL","SEA","JFK",0,0,2422
2,3,"OO","BIS","MSP",0,0,386
17,4,"OO","SLC","SGU",0,0,272
11,5,"UA","SAN","IAD",0,0,2253
30,3,"WN","PHX","DAL",1,0,879
15,2,"WN","AUS","LAX",0,0,1242
6,7,"UA","PDX","IAH",0,0,1825
4,5,"WN","DAL","STL",9,0,546
6,7,"WN","SAN","SJC",0,0,417
5,6,"DL","MCO","MSP",0,0,1310
4,5,"WN","SAN","LAS",0,0,258
15,2,"MQ","FNT","ORD",0,0,223
16,3,"OO","DEN","GCC",0,0,313
25,5,"AS","SFO","SAN",0,18,447
20,7,"OO","YUM","PHX",0,0,160
14,1,"WN","FLL","ATL",74,53,581
14,1,"MQ","ORD","AZO",NA,NA,122
13,7,"AA","ORD","LAS",0,13,1514
21,1,"WN","LAS","SFO",0,0,414
22,2,"EV","ATL","LEX",0,0,304
17,4,"AA","PIT","CLT",0,0,366
13,7,"YV","MAF","IAH",0,0,429
25,5,"B6","JFK","ATL",8,0,760
29,2,"MQ","PIT","BOS",36,42,496
27,7,"UA","STL","DEN",0,0,770
1,2,"EV","BWI","EWR",0,0,169
8,2,"WN","LAS","OAK",15,6,407
23,3,"DL","MEM","DTW",0,0,610
17,4,"F9","BNA","TTN",0,0,706
16,3,"WN","MDW","CLE",107,95,307
9,3,"WN","SJU","MCO",0,0,1189
15,2,"HA","OGG","HNL",15,13,100
5,6,"WN","BWI","MCO",29,16,787
5,6,"OO","DEN","FAT",0,0,844
2,3,"DL","SJU","JFK",0,19,1598
23,3,"UA","SAN","DEN",0,0,853
27,7,"B6","LAX","JFK",0,0,2475
10,4,"F9","ORD","DEN",19,10,888
24,4,"OH","BHM","CLT",29,23,350
30,3,"OO","PSC","SLC",9,13,521
6,7,"WN","LAS","ONT",0,0,197
12,6,"YX","LGA","DCA",0,2,214
20,7,"UA","OMA","ORD",0,7,416
31,4,"B6","MSP","BOS",0,8,1124
26,6,"YX","ORD","CID",0,0,196
10,4,"WN","MDW","MCO",97,83,990
28,1,"DL","SLC","OAK",7,0,588
14,1,"OO","DAL","LGA",0,0,1381
15,2,"DL","AUS","DTW",0,0,1149
15,2,"UA","SAT","ORD",0,0,1041
27,7,"HA","HNL","LIH",0,0,102
10,4,"AA","DFW","MCI",84,81,460
12,6,"OO","TYS","DTW",0,0,443
25,5,"DL","ATL","CAE",0,0,192
12,6,"UA","PDX","EWR",0,10,2434
14,1,"DL","HOU","ATL",0,0,696
16,3,"WN","HOU","DAL",12,8,239
7,1,"AS","JFK","LAX",0,0,2475
7,1,"YV","OKC","DFW",115,104,175
5,6,"YV","OKC","IAH",0,0,395
31,4,"AS","SEA","LAX",84,69,954
1,2,"MQ","DFW","XNA",28,23,280
9,3,"WN","BNA","MSP",46,28,695
16,3,"9E","CLT","CVG",14,0,335
9,3,"YV","DFW","LFT",66,53,351
8,2,"G4","ABE","SFB",5,8,882
2,3,"DL","MCO","ATL",0,0,404
10,4,"AA","STL","PHL",15,11,814
7,1,"OO","DEN","MOT",0,9,604
25,5,"AA","MCO","MIA",0,0,192
1,2,"WN","SAT","HOU",2,37,192
30,3,"WN","DEN","PDX",24,17,991
20,7,"DL","ATL","EWR",85,67,746
15,2,"9E","LGA","ORF",0,0,296
20,7,"DL","ATL","SAT",48,39,874
9,3,"UA","DFW","DEN",105,90,641
1,2,"WN","ISP","BWI",3,0,220
10,4,"OO","SEA","GEG",0,0,224
20,7,"9E","CVG","LGA",0,NA,585
9,3,"EV","LGA","CLE",0,0,419
29,2,"F9","IAH","DEN",0,0,862
13,7,"WN","MCO","HOU",56,45,849
30,3,"AA","DEN","ORD",140,136,888
22,2,"AA","MIA","TPA",0,8,204
27,7,"WN","LGA","DEN",35,2,1620
12,6,"B6","BUF","JFK",0,0,301
17,4,"WN","MDW","PHL",3,18,668
8,2,"9E","JFK","PIT",0,0,340
24,4,"UA","IAH","EWR",0,1,1400
18,5,"OO","ORD","UIN",11,42,222
4,5,"DL","CVG","ATL",0,0,373
7,1,"WN","MSP","STL",0,0,448
20,7,"AA","MIA","JFK",17,0,1089
28,1,"OO","CHA","ATL",0,0,106
26,6,"WN","HOU","MDW",14,5,937
8,2,"HA","LAX","HNL",376,370,2556
11,5,"AA","BOS","JFK",0,0,187
16,3,"OO","TUS","DEN",0,0,639
23,3,"DL","MIA","DTW",0,0,1145
12,6,"YX","HSV","DCA",0,0,613
13,7,"OO","DEN","CNY",0,0,283
21,1,"NK","PDX","ORD",51,50,1739
10,4,"F9","DEN","SLC",0,0,391
22,2,"WN","SNA","SJC",0,0,342
14,1,"AA","DFW","TUS",0,0,813
24,4,"DL","ATL","RIC",5,32,481
19,6,"YX","MIA","EYW",8,13,125
14,1,"OO","DTW","CID",0,0,430
30,3,"UA","IAH","MFE",0,0,316
15,2,"UA","SEA","DEN",0,0,1024
16,3,"WN","BNA","MKE",47,45,475
1,2,"WN","BOS","ATL",0,0,946
14,1,"UA","CLE","DEN",8,1,1201
31,4,"OO","ATL","SBN",0,19,566
14,1,"DL","ATL","IND",0,0,432
25,5,"DL","ATL","IAD",0,4,534
18,5,"UA","LAX","SFO",23,100,337
4,5,"WN","SAN","LAS",12,8,258
4,5,"UA","SFO","SNA",0,0,372
23,3,"YX","EYW","EWR",0,0,1196
13,7,"DL","MDW","ATL",0,0,591
15,2,"DL","DTW","LGA",10,8,502
15,2,"MQ","LGA","RDU",NA,NA,431
27,7,"B6","BDL","PBI",0,0,1133
15,2,"YV","ATL","IAH",0,0,689
14,1,"AA","SNA","DFW",0,0,1205
13,7,"DL","SJC","ATL",0,0,2116
19,6,"DL","ATL","LIT",0,0,453
7,1,"AA","MIA","SAN",0,0,2267
2,3,"UA","MIA","IAH",0,0,964
21,1,"DL","SLC","JAC",0,0,205
23,3,"OO","SLC","ORD",0,0,1250
10,4,"OO","CVG","ORD",0,0,264
30,3,"B6","BOS","TPA",0,0,1185
21,1,"AA","PHL","MCO",11,10,861
18,5,"DL","RDU","MSP",0,0,980
28,1,"MQ","SUX","ORD",72,78,436
25,5,"OO","FAT","LAX",0,0,209
7,1,"AA","MIA","PHX",0,0,1972
14,1,"OH","PHL","HVN",1,7,157
20,7,"WN","CMH","DCA",72,60,323
20,7,"EV","IAH","LRD",18,19,301
26,6,"YX","IAH","SLC",0,0,1195
11,5,"WN","SAN","SJC",5,0,417
12,6,"OO","PHX","MRY",0,0,598
20,7,"OH","SDF","DCA",18,3,474
7,1,"EV","IAH","CRP",0,0,201
28,1,"UA","IAH","LAS",0,10,1222
29,2,"UA","RDU","DEN",0,0,1436
6,7,"OO","MLU","ATL",11,0,448
11,5,"9E","DFW","MSP",88,72,852
18,5,"YV","OKC","IAH",0,0,395
28,1,"AS","SEA","LAX",34,27,954
3,4,"DL","TYS","ATL",4,0,152
1,2,"AA","AUS","DFW",0,0,190
30,3,"WN","OAK","PHX",31,23,646
16,3,"YX","PHL","ILM",0,0,413
31,4,"UA","IAH","AUS",0,0,140
3,4,"AA","LAX","HNL",4,11,2556
16,3,"DL","MCI","ATL",0,0,692
30,3,"MQ","ALO","ORD",0,50,234
24,4,"AA","SAN","JFK",0,6,2446
6,7,"UA","IAH","DFW",0,0,224
21,1,"HA","OGG","HNL",4,5,100
21,1,"9E","LGA","GSO",0,0,461
26,6,"OO","PHX","TUS",0,0,110
20,7,"OO","SFO","AUS",23,6,1504
20,7,"DL","RSW","MSP",0,0,1416
1,2,"WN","RDU","BNA",0,0,442
29,2,"HA","LIH","OGG",0,0,201
17,4,"AS","SNA","SEA",0,0,978
30,3,"DL","SEA","ATL",7,2,2182
21,1,"DL","JFK","MIA",0,0,1089
3,4,"WN","DEN","BNA",14,3,1014
20,7,"OH","CVG","PHL",22,10,507
15,2,"AA","LAX","IND",0,0,1814
31,4,"EV","LGA","CLE",0,0,419
13,7,"WN","SEA","SMF",0,0,605
25,5,"G4","BGR","SFB",0,0,1299
22,2,"B6","AUS","LGB",24,17,1226
31,4,"EV","EWR","CMH",0,0,463
28,1,"DL","MSP","PHX",0,0,1276
2,3,"DL","SAN","MSP",11,0,1532
1,2,"OO","IAH","CVG",0,0,871
27,7,"G4","AZA","CID",3,0,1240
29,2,"AA","DCA","BOS",0,0,399
28,1,"AA","PHL","BOS",0,0,280
